epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.81,1.47234,1.36922,1.23204,0.3782,0.31304,0.32267,0.18863,1.48602,1.45526,1.27739,0.0700249,0.00333057,0.00333057
2,388.959,1.4059,1.25311,1.23129,0.75639,0.34386,0.44974,0.26332,1.31346,1.2724,1.19832,0.0400183,0.00665731,0.00665731
3,775.857,1.33044,1.15671,1.1807,0.56731,0.47555,0.50774,0.30972,1.20352,1.035,1.14239,0.0100051,0.00997744,0.00997744
4,1163.02,1.25346,1.05207,1.14417,0.56578,0.54838,0.56352,0.35293,1.12645,0.9652,1.10685,0.0099703,0.0099703,0.0099703
5,1549.86,1.17946,0.98279,1.11053,0.66697,0.59096,0.64639,0.39619,1.05187,0.83776,1.07459,0.0099604,0.0099604,0.0099604
6,1936.87,1.16753,0.96033,1.10757,0.63614,0.59328,0.6304,0.39888,1.03822,0.82021,1.05697,0.0099505,0.0099505,0.0099505
7,2323.85,1.124,0.90447,1.07783,0.67684,0.63301,0.67807,0.4307,0.99259,0.80248,1.04108,0.0099406,0.0099406,0.0099406
8,2710.85,1.10271,0.88646,1.06577,0.71846,0.6198,0.69215,0.45175,0.96834,0.76766,1.02923,0.0099307,0.0099307,0.0099307
9,3097.35,1.07865,0.86003,1.05604,0.71513,0.66003,0.7175,0.47265,0.94299,0.73459,1.00795,0.0099208,0.0099208,0.0099208
10,3484.36,1.08037,0.85885,1.05657,0.71094,0.63351,0.70425,0.46189,0.96477,0.7734,1.01741,0.0099109,0.0099109,0.0099109
11,3870.76,1.05771,0.82937,1.04157,0.76769,0.63949,0.72046,0.47839,0.96513,0.72552,1.01324,0.009901,0.009901,0.009901
12,4255.92,1.03137,0.79887,1.03131,0.71566,0.67283,0.72825,0.48337,0.92227,0.71345,1.00145,0.0098911,0.0098911,0.0098911
13,4639.72,1.02397,0.79513,1.02678,0.6981,0.6739,0.72389,0.48749,0.89987,0.70986,0.9948,0.0098812,0.0098812,0.0098812
14,5023.48,1.01561,0.78988,1.02395,0.73907,0.66017,0.73036,0.48789,0.90711,0.69465,0.99219,0.0098713,0.0098713,0.0098713
15,5406.93,1.0055,0.77464,1.01956,0.73863,0.65446,0.74963,0.49996,0.88946,0.67071,0.98342,0.0098614,0.0098614,0.0098614
16,5790.64,0.99267,0.76558,1.01437,0.72536,0.67167,0.74131,0.49784,0.88776,0.66159,0.98497,0.0098515,0.0098515,0.0098515
17,6174.27,0.99303,0.75891,1.01196,0.70069,0.67957,0.73311,0.49556,0.8902,0.67643,0.98725,0.0098416,0.0098416,0.0098416
18,6557.72,0.9816,0.7425,1.01066,0.75229,0.67662,0.74878,0.50063,0.88384,0.67444,0.97791,0.0098317,0.0098317,0.0098317
19,6941.45,0.9714,0.73316,1.00368,0.72512,0.67364,0.74773,0.51069,0.86965,0.6444,0.97587,0.0098218,0.0098218,0.0098218
20,7325.26,0.96715,0.73416,1.00033,0.75434,0.67875,0.75358,0.51291,0.86088,0.64921,0.96542,0.0098119,0.0098119,0.0098119
21,7708.41,0.96204,0.71723,0.99514,0.75572,0.66166,0.75532,0.51933,0.85408,0.64955,0.96662,0.009802,0.009802,0.009802
22,8091.83,0.95136,0.71599,0.99513,0.75211,0.70588,0.77714,0.53884,0.83532,0.6094,0.95966,0.0097921,0.0097921,0.0097921
23,8475.3,0.94355,0.71253,0.99061,0.75858,0.71384,0.78322,0.54177,0.8255,0.60261,0.95786,0.0097822,0.0097822,0.0097822
24,8858.86,0.94103,0.70319,0.98876,0.78222,0.70382,0.77733,0.53966,0.81399,0.60393,0.94767,0.0097723,0.0097723,0.0097723
25,9242.01,0.93837,0.702,0.98491,0.76502,0.70451,0.77614,0.53913,0.81596,0.58849,0.94807,0.0097624,0.0097624,0.0097624
26,9625.19,0.93688,0.69236,0.98546,0.75108,0.71273,0.78553,0.54962,0.82357,0.60255,0.95012,0.0097525,0.0097525,0.0097525
27,10008.7,0.92611,0.68809,0.98137,0.79612,0.69288,0.78556,0.55303,0.80402,0.58573,0.94748,0.0097426,0.0097426,0.0097426
28,10392.1,0.91783,0.67716,0.97828,0.77422,0.70908,0.78818,0.56452,0.80307,0.57275,0.94324,0.0097327,0.0097327,0.0097327
29,10775.3,0.9145,0.67561,0.97437,0.79192,0.71205,0.79099,0.56279,0.80167,0.57565,0.93875,0.0097228,0.0097228,0.0097228
30,11158.3,0.92198,0.68318,0.97619,0.77234,0.70867,0.78991,0.56106,0.79668,0.57206,0.94171,0.0097129,0.0097129,0.0097129
31,11541.6,0.90799,0.6672,0.96872,0.78193,0.70392,0.79769,0.5692,0.78524,0.56994,0.93691,0.009703,0.009703,0.009703
32,11925,0.91183,0.66643,0.97405,0.7652,0.72119,0.7859,0.56097,0.78349,0.5763,0.93379,0.0096931,0.0096931,0.0096931
33,12308.3,0.90077,0.66012,0.97253,0.79781,0.72633,0.80218,0.57663,0.78211,0.55411,0.93209,0.0096832,0.0096832,0.0096832
34,12691.7,0.89796,0.66033,0.96657,0.75049,0.75196,0.80383,0.58417,0.76755,0.54283,0.92797,0.0096733,0.0096733,0.0096733
35,13074.9,0.89141,0.65584,0.96599,0.75774,0.76105,0.8161,0.58839,0.77582,0.54526,0.93075,0.0096634,0.0096634,0.0096634
36,13458.4,0.88822,0.64608,0.96291,0.79915,0.72603,0.81571,0.59079,0.76717,0.54405,0.92517,0.0096535,0.0096535,0.0096535
37,13841.6,0.87787,0.64234,0.95908,0.77085,0.75649,0.81188,0.58477,0.76917,0.54353,0.92676,0.0096436,0.0096436,0.0096436
38,14224,0.87808,0.63268,0.96249,0.77542,0.74144,0.8186,0.59098,0.7657,0.53201,0.92738,0.0096337,0.0096337,0.0096337
39,14606.6,0.875,0.63446,0.958,0.80132,0.74391,0.82867,0.59938,0.76486,0.52534,0.92532,0.0096238,0.0096238,0.0096238
40,14989.9,0.87907,0.63717,0.96121,0.80777,0.74184,0.82235,0.59512,0.75976,0.52828,0.92566,0.0096139,0.0096139,0.0096139
41,15373,0.87566,0.63686,0.95777,0.8068,0.74086,0.82828,0.60817,0.75375,0.51856,0.91938,0.009604,0.009604,0.009604
42,15756.4,0.86537,0.62531,0.95472,0.81677,0.73183,0.83015,0.6103,0.74628,0.51692,0.9184,0.0095941,0.0095941,0.0095941
43,16139.6,0.8684,0.62408,0.95308,0.79036,0.75867,0.83512,0.61161,0.74667,0.51577,0.91854,0.0095842,0.0095842,0.0095842
44,16522.7,0.8607,0.62604,0.95071,0.80485,0.75129,0.83372,0.60894,0.7388,0.50977,0.91355,0.0095743,0.0095743,0.0095743
45,16905.9,0.87048,0.61955,0.95159,0.78686,0.76401,0.83392,0.61372,0.74004,0.50411,0.91596,0.0095644,0.0095644,0.0095644
46,17288.8,0.84711,0.60732,0.94566,0.81815,0.73611,0.82734,0.60507,0.73569,0.50166,0.91392,0.0095545,0.0095545,0.0095545
47,17671.5,0.85107,0.61379,0.94814,0.80759,0.74219,0.8268,0.60966,0.73061,0.50765,0.91132,0.0095446,0.0095446,0.0095446
48,18054.5,0.84858,0.60468,0.94385,0.82258,0.73955,0.84002,0.62277,0.72385,0.49523,0.90767,0.0095347,0.0095347,0.0095347
49,18437,0.84865,0.60631,0.94758,0.80171,0.7642,0.84395,0.62567,0.72176,0.49433,0.90857,0.0095248,0.0095248,0.0095248
50,18819.6,0.84632,0.60579,0.94367,0.82925,0.75171,0.83954,0.62703,0.72209,0.49376,0.90901,0.0095149,0.0095149,0.0095149
51,19201.8,0.83221,0.58612,0.9377,0.82804,0.74434,0.84736,0.63119,0.71742,0.4883,0.9058,0.009505,0.009505,0.009505
52,19584.8,0.83568,0.59781,0.93907,0.81076,0.76689,0.84731,0.63077,0.71151,0.48708,0.90569,0.0094951,0.0094951,0.0094951
53,19967.7,0.82805,0.58525,0.93815,0.84212,0.74979,0.8541,0.63635,0.71159,0.47979,0.90487,0.0094852,0.0094852,0.0094852
54,20350.8,0.82775,0.58408,0.93525,0.86003,0.74561,0.85486,0.63712,0.71325,0.47808,0.90405,0.0094753,0.0094753,0.0094753
55,20733.8,0.82933,0.58195,0.93683,0.81686,0.76612,0.85379,0.63792,0.7095,0.47355,0.90336,0.0094654,0.0094654,0.0094654
56,21116.8,0.82518,0.58125,0.93669,0.85473,0.7462,0.85506,0.63806,0.70911,0.47284,0.90339,0.0094555,0.0094555,0.0094555
57,21499.8,0.8262,0.5824,0.9336,0.82974,0.76296,0.85817,0.6393,0.70869,0.47096,0.9019,0.0094456,0.0094456,0.0094456
58,21882.7,0.82482,0.57661,0.93251,0.83201,0.76246,0.85222,0.63606,0.70426,0.4697,0.89945,0.0094357,0.0094357,0.0094357
59,22264.7,0.82397,0.57502,0.93364,0.84456,0.76248,0.85433,0.64015,0.7011,0.46619,0.8982,0.0094258,0.0094258,0.0094258
60,22647.6,0.82141,0.57553,0.93717,0.84196,0.75487,0.85747,0.64434,0.69878,0.46397,0.89784,0.0094159,0.0094159,0.0094159
61,23030.3,0.82007,0.57208,0.93336,0.85111,0.75242,0.857,0.6505,0.69175,0.46072,0.89455,0.009406,0.009406,0.009406
62,23413.1,0.81252,0.57172,0.92981,0.8469,0.74944,0.85666,0.64803,0.68985,0.45943,0.89417,0.0093961,0.0093961,0.0093961
63,23795.1,0.8132,0.57131,0.93058,0.80468,0.79849,0.86123,0.65024,0.69112,0.45822,0.89441,0.0093862,0.0093862,0.0093862
64,24177.2,0.81177,0.56127,0.93006,0.8155,0.79073,0.86634,0.65538,0.69158,0.45497,0.89378,0.0093763,0.0093763,0.0093763
65,24560,0.81379,0.56791,0.93056,0.8227,0.78713,0.86767,0.6582,0.68804,0.45372,0.89246,0.0093664,0.0093664,0.0093664
66,24942.7,0.80878,0.56142,0.92794,0.82236,0.79625,0.87052,0.66284,0.6865,0.45203,0.89083,0.0093565,0.0093565,0.0093565
67,25325,0.79649,0.55401,0.92283,0.83394,0.78262,0.87423,0.66501,0.68613,0.45089,0.8896,0.0093466,0.0093466,0.0093466
68,25707.8,0.79653,0.55559,0.92277,0.86355,0.77593,0.87639,0.66415,0.68419,0.44695,0.88942,0.0093367,0.0093367,0.0093367
69,26089.8,0.79427,0.54883,0.9232,0.86669,0.77629,0.87558,0.66723,0.68146,0.44579,0.88813,0.0093268,0.0093268,0.0093268
70,26472.1,0.80026,0.55232,0.9218,0.86397,0.77689,0.87635,0.6679,0.68044,0.44336,0.88734,0.0093169,0.0093169,0.0093169
71,26854.4,0.79709,0.55006,0.92395,0.8571,0.77975,0.87728,0.67002,0.67633,0.44096,0.88571,0.009307,0.009307,0.009307
72,27236.9,0.79752,0.55252,0.92437,0.84064,0.79518,0.87915,0.67294,0.67433,0.43849,0.88439,0.0092971,0.0092971,0.0092971
