epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1254.97,1.38563,1.43154,1.26874,0.50052,0.42411,0.44899,0.27348,1.24544,1.19255,1.2164,0.0700062,0.00333264,0.00333264
2,2495.37,1.38721,1.40142,1.26562,0.55633,0.47546,0.47998,0.2879,1.25414,1.21871,1.2171,0.0399996,0.00665938,0.00665938
3,3736.94,1.37269,1.35357,1.25354,0.60626,0.5029,0.54298,0.32774,1.14564,1.00574,1.15462,0.00998642,0.00997951,0.00997951
4,4974.69,1.32132,1.269,1.22785,0.5808,0.5394,0.55827,0.3352,1.15839,1.03707,1.16094,0.0099703,0.0099703,0.0099703
5,6212.37,1.27237,1.22998,1.1951,0.61252,0.5384,0.59345,0.36414,1.14145,0.96664,1.14674,0.0099604,0.0099604,0.0099604
6,7450.3,1.22839,1.15165,1.17045,0.60108,0.58352,0.59613,0.38521,1.03637,0.86895,1.09648,0.0099505,0.0099505,0.0099505
7,8688.25,1.20116,1.11123,1.16644,0.6317,0.5984,0.62118,0.39565,1.04591,0.86599,1.09524,0.0099406,0.0099406,0.0099406
8,9926.78,1.17052,1.0655,1.14339,0.69205,0.60796,0.66248,0.41243,1.03266,0.86347,1.0959,0.0099307,0.0099307,0.0099307
9,11166.2,1.16097,1.0603,1.13887,0.65874,0.59865,0.64256,0.41914,0.99721,0.82892,1.0784,0.0099208,0.0099208,0.0099208
10,12408.7,1.15038,1.03915,1.13513,0.67492,0.62897,0.66036,0.43384,0.9964,0.80511,1.07397,0.0099109,0.0099109,0.0099109
11,13651.7,1.1303,1.01305,1.11312,0.63995,0.64923,0.67909,0.44173,0.97314,0.79435,1.05441,0.009901,0.009901,0.009901
12,14897.9,1.11258,0.98811,1.11158,0.69657,0.63224,0.69349,0.464,0.93049,0.74454,1.03842,0.0098911,0.0098911,0.0098911
13,16143.8,1.07735,0.95393,1.09473,0.69648,0.63289,0.68738,0.45327,0.94464,0.74678,1.04839,0.0098812,0.0098812,0.0098812
14,17389.6,1.07837,0.9604,1.09948,0.66666,0.64529,0.70023,0.46022,0.94482,0.76631,1.04239,0.0098713,0.0098713,0.0098713
15,18636.4,1.07365,0.95068,1.0937,0.69732,0.6406,0.70624,0.46851,0.93248,0.76089,1.03406,0.0098614,0.0098614,0.0098614
16,19883.9,1.0614,0.92614,1.08737,0.71672,0.63927,0.71343,0.47815,0.90444,0.72184,1.02241,0.0098515,0.0098515,0.0098515
17,21132.7,1.05726,0.91182,1.08201,0.69003,0.66878,0.71655,0.48146,0.88766,0.69243,1.01487,0.0098416,0.0098416,0.0098416
18,22381.6,1.0452,0.90075,1.07535,0.70084,0.67183,0.71928,0.48915,0.89759,0.71795,1.01936,0.0098317,0.0098317,0.0098317
19,23630.9,1.01553,0.89008,1.06349,0.7243,0.6362,0.72045,0.4862,0.87203,0.68674,1.01007,0.0098218,0.0098218,0.0098218
20,24880,1.01291,0.86277,1.05884,0.71708,0.68457,0.73564,0.49546,0.88722,0.69882,1.0116,0.0098119,0.0098119,0.0098119
21,26129.9,1.01615,0.87815,1.06274,0.69713,0.68723,0.72536,0.48723,0.8731,0.6719,1.00951,0.009802,0.009802,0.009802
22,27379.5,1.01658,0.86215,1.06444,0.71108,0.67995,0.74169,0.50179,0.86888,0.67528,1.00872,0.0097921,0.0097921,0.0097921
23,28629.7,0.99749,0.8497,1.05405,0.74023,0.67398,0.73104,0.5012,0.86133,0.66357,0.99862,0.0097822,0.0097822,0.0097822
24,29880.5,0.99657,0.84506,1.05338,0.73952,0.68226,0.73705,0.49954,0.86681,0.65577,0.99903,0.0097723,0.0097723,0.0097723
25,31131,0.99129,0.84849,1.04913,0.72207,0.70599,0.74796,0.51432,0.85402,0.64702,0.99712,0.0097624,0.0097624,0.0097624
26,32381.6,0.98409,0.82639,1.04869,0.75167,0.68427,0.75155,0.51696,0.84758,0.64829,0.9917,0.0097525,0.0097525,0.0097525
