epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.005,0.98545,0.92028,0.98359,0.71826,0.69741,0.74327,0.49238,0.90193,0.68821,0.92874,0.00333023,0.00333023,0.00333023
2,729.391,1.00031,0.79974,0.97904,0.7354,0.59332,0.68945,0.44841,0.98321,0.76968,0.96199,0.00659759,0.00659759,0.00659759
3,1095.3,1.07267,0.87172,1.00258,0.67559,0.59003,0.65784,0.42028,1.00995,0.83166,0.97691,0.00979895,0.00979895,0.00979895
4,1455.74,1.12594,0.91619,1.02546,0.67531,0.63278,0.68217,0.43209,1.012,0.78979,0.98148,0.009703,0.009703,0.009703
5,1815.98,1.09635,0.87375,1.01516,0.6938,0.62215,0.68661,0.44051,0.99364,0.78547,0.97927,0.009604,0.009604,0.009604
6,2176.08,1.06908,0.84102,1.00772,0.76104,0.6375,0.72121,0.47392,0.93906,0.72057,0.96029,0.009505,0.009505,0.009505
7,2536.2,1.03369,0.80946,0.99938,0.73618,0.6437,0.72837,0.48303,0.93499,0.7058,0.95402,0.009406,0.009406,0.009406
8,2896.34,1.01506,0.7784,0.9857,0.73821,0.66791,0.74472,0.49643,0.91161,0.7085,0.94677,0.009307,0.009307,0.009307
9,3256.58,0.99838,0.76313,0.9814,0.75209,0.69415,0.76614,0.51519,0.89109,0.65995,0.93931,0.009208,0.009208,0.009208
10,3618.03,0.97634,0.73534,0.97265,0.75997,0.67842,0.75896,0.51828,0.87494,0.65449,0.93082,0.009109,0.009109,0.009109
11,3978.62,0.96416,0.72443,0.96661,0.7747,0.68073,0.7585,0.51584,0.87022,0.65413,0.92843,0.00901,0.00901,0.00901
12,4338.85,0.94806,0.70645,0.96128,0.7515,0.69725,0.7724,0.52727,0.85431,0.62278,0.92367,0.008911,0.008911,0.008911
13,4699.23,0.94049,0.69947,0.95736,0.7527,0.70212,0.77443,0.52789,0.85887,0.6282,0.92525,0.008812,0.008812,0.008812
14,5059.42,0.93001,0.69073,0.95531,0.78953,0.69069,0.78298,0.5398,0.82601,0.60806,0.91777,0.008713,0.008713,0.008713
15,5419.54,0.90995,0.66943,0.94889,0.74786,0.71771,0.78299,0.54312,0.82931,0.60336,0.91153,0.008614,0.008614,0.008614
16,5781.22,0.90557,0.65989,0.94587,0.77372,0.71881,0.79722,0.56267,0.81618,0.58796,0.90949,0.008515,0.008515,0.008515
17,6148.5,0.89686,0.6491,0.94276,0.79377,0.71562,0.79976,0.56035,0.81388,0.59485,0.90787,0.008416,0.008416,0.008416
18,6520.56,0.89354,0.64433,0.93839,0.7697,0.72573,0.79954,0.56571,0.80599,0.57235,0.9042,0.008317,0.008317,0.008317
19,6888.34,0.88243,0.639,0.93455,0.77438,0.73907,0.80481,0.56885,0.81003,0.56902,0.90557,0.008218,0.008218,0.008218
20,7267.88,0.87748,0.63316,0.93715,0.79957,0.72851,0.81279,0.57447,0.78735,0.56677,0.90007,0.008119,0.008119,0.008119
21,7637.28,0.86935,0.61959,0.93208,0.78822,0.73282,0.81565,0.58536,0.78777,0.56396,0.89894,0.00802,0.00802,0.00802
22,7997.75,0.86573,0.61516,0.93101,0.78923,0.74283,0.81603,0.58108,0.77582,0.55891,0.89466,0.007921,0.007921,0.007921
23,8359.7,0.85854,0.60848,0.92924,0.7788,0.75113,0.81553,0.58828,0.77068,0.54255,0.8931,0.007822,0.007822,0.007822
24,8727.79,0.85134,0.60591,0.92649,0.81119,0.74607,0.8328,0.6063,0.76017,0.5343,0.88931,0.007723,0.007723,0.007723
25,9096.23,0.8424,0.59335,0.92473,0.8045,0.76631,0.83731,0.60002,0.7685,0.52976,0.89359,0.007624,0.007624,0.007624
26,9466.49,0.83697,0.59279,0.9208,0.82623,0.76197,0.84584,0.60847,0.75425,0.52292,0.88598,0.007525,0.007525,0.007525
27,9834.63,0.83602,0.58767,0.92227,0.804,0.76567,0.83397,0.60552,0.75153,0.52099,0.88527,0.007426,0.007426,0.007426
28,10194.3,0.82797,0.58191,0.91866,0.81771,0.76187,0.83547,0.61328,0.74559,0.51526,0.8844,0.007327,0.007327,0.007327
29,10553.8,0.8271,0.57806,0.91589,0.79628,0.76526,0.83931,0.61541,0.7442,0.51218,0.88417,0.007228,0.007228,0.007228
30,10913.1,0.81688,0.56661,0.91476,0.82316,0.75913,0.84658,0.62699,0.73426,0.50591,0.88041,0.007129,0.007129,0.007129
31,11274,0.80829,0.55965,0.91316,0.8105,0.77418,0.84713,0.62579,0.73244,0.50055,0.87725,0.00703,0.00703,0.00703
32,11633.5,0.80821,0.55896,0.91012,0.83115,0.77055,0.85823,0.6327,0.72165,0.49612,0.87429,0.006931,0.006931,0.006931
33,11992.9,0.79432,0.55255,0.90635,0.83367,0.76511,0.8551,0.63585,0.72731,0.48937,0.87915,0.006832,0.006832,0.006832
34,12352,0.79898,0.54829,0.90832,0.82262,0.77636,0.85538,0.63248,0.71885,0.48403,0.87376,0.006733,0.006733,0.006733
35,12711.1,0.79377,0.54478,0.90663,0.83247,0.79062,0.86415,0.64128,0.71392,0.47796,0.87209,0.006634,0.006634,0.006634
36,13070.2,0.79392,0.54307,0.90801,0.82827,0.78411,0.86022,0.63459,0.71648,0.47829,0.87403,0.006535,0.006535,0.006535
37,13429.2,0.78409,0.53715,0.90383,0.82299,0.80846,0.86427,0.64617,0.70359,0.47136,0.8685,0.006436,0.006436,0.006436
38,13788.7,0.78024,0.53144,0.90157,0.82464,0.80576,0.86976,0.65411,0.69906,0.46268,0.86768,0.006337,0.006337,0.006337
